TIC,waiting_time_type,t_prev_btjd,t_curr_btjd,exposure_days,z_global
270676943,interevent,3103.1727643183967,3104.2269271689456,1.0541628505488916,0.15772229215138672
270676943,interevent,3104.2269271689456,3120.1755338037765,15.358328856846128,2.297890529584936
270676943,interevent,3120.1755338037765,3127.3172213951448,6.898632035864011,1.0321631585090612
270676943,interevent,3127.3172213951448,3146.0646208984595,18.32610320667345,2.741924554118366
270676943,interevent,3146.0646208984595,3148.1396462473526,1.864388775050429,0.278947100923883
271948049,initial,1569.4379882598296,1578.2868243187024,8.848836058872848,1.3239498103642753
271948049,interevent,1578.2868243187024,1579.8424186198945,1.555594301192059,0.2327457268237958
271948049,interevent,2311.3976923039527,2312.7977228467,1.4000305427471176,0.20947050654369845
271948049,interevent,2312.7977228467,2322.4186964871774,8.426529196447063,1.2607648799729478
271948049,interevent,2322.4186964871774,3046.2432965997773,15.292516777733,2.2880438232970355
271948049,interevent,3046.2432965997773,3048.9683375531745,2.514392805076568,0.37619974596822336
271948049,interevent,3048.9683375531745,3052.0961536416867,3.1278160885121906,0.4679792336177067
271948049,interevent,3052.0961536416867,3065.183688229592,12.663923476897253,1.8947575674536217
272011534,initial,3014.3632776099257,3031.291770095353,16.507196188786565,2.469782366673621
272011534,interevent,3031.291770095353,3039.163885601957,7.661467358283517,1.1462974552388303
272248916,initial,1596.7713100183755,1607.564949393935,10.79363937555945,1.6149284164987208
272248916,interevent,1607.564949393935,1619.2317593577957,10.562643297349268,1.5803671237019572
272248916,interevent,1619.2317593577957,1620.6845439278982,1.4527845701024944,0.2173634863716013
272248916,interevent,1620.6845439278982,1620.7123218065535,0.0277778786553426,0.004156085267416201
272248916,interevent,2334.511784821432,2335.2423578859466,0.7305730645148287,0.1093072652478162
272248916,interevent,2335.2423578859466,2335.799315655656,0.5569577697092427,0.08333120070046687
272248916,interevent,2335.799315655656,2336.363217903044,0.5639022473883415,0.08437022321655277
272248916,interevent,2336.363217903044,2339.175780744209,2.8125628411648904,0.42081150734667155
272248916,interevent,2339.175780744209,2342.6633468999776,3.4875661557684907,0.5218045085073834
272248916,interevent,2342.6633468999776,2347.477295726949,3.8486710494521503,0.5758324905304779
272248916,interevent,2347.477295726949,2349.5786877401574,2.101392013208624,0.31440717613915714
272248916,interevent,2349.5786877401574,2352.282855734127,2.704167993969804,0.4045936300537025
272248916,interevent,2352.282855734127,2355.746735438096,3.4638797039688143,0.5182605764964677
272272903,initial,2419.9862289754674,2434.700575015103,13.596290484597375,2.034256945091738
272349442,initial,1543.2296664975584,1544.952515957992,1.7228494604337357,0.2577701972611734
272349442,interevent,1544.952515957992,1547.2122985841086,2.2597826261164755,0.3381053462179847
272349442,interevent,1547.2122985841086,1547.2359103041504,0.0236117200417993,0.003532750755436245
272349442,interevent,1547.2359103041504,1547.5192509004153,0.2833405962649067,0.04239300244660734
272349442,interevent,1547.5192509004153,1547.9275945605996,0.4083436601843004,0.06109577664989793
272349442,interevent,1547.9275945605996,1550.9734990948111,3.0459045342115587,0.4557237475784752
