TIC,waiting_time_type,t_prev_btjd,t_curr_btjd,z_hawkes
357023705,interevent,2284.1581502449862,2284.167872602437,0.0013000182401609404
357023705,interevent,2284.167872602437,2286.723461094597,0.4465571222662619
357023705,interevent,2286.723461094597,2287.65124955611,0.19629527891077614
357023705,interevent,2287.65124955611,2289.8248829524155,0.528691591244492
357023705,interevent,2289.8248829524155,2291.111005290247,0.3479929063621834
357023705,interevent,2291.111005290247,2292.274902866158,0.3508749394394448
357023705,interevent,2292.274902866158,2297.9430001601354,1.3493922828115243
357023705,interevent,2297.9430001601354,2298.5985596581595,0.1918273238367266
357023705,interevent,2298.5985596581595,2299.8082882428484,0.3942935446184025
357023705,interevent,2299.8082882428484,2310.220802579734,2.546629149095493
357023705,interevent,2310.220802579734,2310.7680244865264,0.13804451786423055
357023705,interevent,2310.7680244865264,2310.7944133541,0.007893584601088112
357023705,interevent,2310.7944133541,2315.731899499478,1.496790811833948
357023705,interevent,2315.731899499478,2331.4803727006715,3.0633497345862466
357023705,interevent,2331.4803727006715,2332.1275854709816,0.1267054681054271
357023705,interevent,2332.1275854709816,2336.7358550282383,0.7069889861110845
357023705,interevent,2336.7358550282383,2340.813568605867,0.9007993798410541
357023705,interevent,2340.813568605867,2340.839957041821,0.006601254055779458
357023705,interevent,2340.839957041821,2342.7746447176983,0.550779512763251
357023705,interevent,2342.7746447176983,2347.53704793562,1.0883248588681722
357023705,interevent,2347.53704793562,2347.5606585817563,0.006974245577884495
357023705,interevent,2347.5606585817563,2358.032651571322,2.731289118740815
357023705,interevent,2358.032651571322,2358.2493127742905,0.05324526754328647
357023705,interevent,2358.2493127742905,2358.40208667893,0.044889338138825605
357023705,interevent,2358.40208667893,2358.4062532397866,0.0014302864867380138
357023705,interevent,2358.4062532397866,2358.4118086541066,0.002188543951313514
357023705,interevent,2358.4118086541066,2360.1103754232013,0.7152278380397638
357023705,interevent,2360.1103754232013,2993.532444651267,0.617011917238196
357023705,interevent,2993.532444651267,2993.661614233022,0.017240476562658574
357023705,interevent,2993.661614233022,2999.1700617181787,0.8701150894807577
357023705,interevent,2999.1700617181787,2999.27700821272,0.02119262518665061
357023705,interevent,2999.27700821272,3000.163136258337,0.21506250270576027
357023705,interevent,3000.163136258337,3007.264660419197,1.6404090185937674
357023705,interevent,3007.264660419197,3009.710531287292,0.5213929918715758
357023705,interevent,3009.710531287292,3010.729990110305,0.2682970465781151
357023705,interevent,3010.729990110305,3013.8258640361587,0.8700639468348927
357023705,interevent,3013.8258640361587,3016.202286663437,0.6211697049551647
357023705,interevent,3016.202286663437,3018.982875785998,0.821048514532205
357023705,interevent,3018.982875785998,3019.181489012867,0.06382073061872377
357023705,interevent,3019.181489012867,3019.3273238778665,0.05374649925982386
357023705,interevent,3019.3273238778665,3019.502325691813,0.07268122435535404
357023705,interevent,3019.502325691813,3028.7371166851167,3.10262908175648
357023705,interevent,3028.7371166851167,3031.5787995309943,0.8256564295000599
357023705,interevent,3031.5787995309943,3033.6704729483,0.6271346894733009
357023705,interevent,3033.6704729483,3034.531585741057,0.21144140371507925
357023705,interevent,3034.531585741057,3042.464915341358,2.271529526811463
357023705,interevent,3042.464915341358,3045.355187004309,0.7581797440618541
357023705,interevent,3045.355187004309,3046.473237996521,0.31745435460745997
357023705,interevent,3046.473237996521,3046.794069820667,0.10354177330029811
357023705,interevent,3046.794069820667,3049.5162759084,0.8572863067786896
357023705,interevent,3049.5162759084,3055.9509447845626,1.894160111155636
357023705,interevent,3055.9509447845626,3057.2773226388385,0.385413414947583
357023705,interevent,3057.2773226388385,3058.487033132614,0.38572121185256547
357023705,interevent,3058.487033132614,3061.195335291989,0.8950210449507054
357105141,initial,1596.7713100183755,1602.0395396534348,0.4370035632682591
357105141,interevent,1602.0395396534348,1603.4840127580571,0.1890806779043479
357105141,interevent,1603.4840127580571,1607.3201924453017,0.6351804076696232
357105141,interevent,1607.3201924453017,1617.978648357053,1.5554797173790589
357105141,interevent,1617.978648357053,1617.993926275716,0.002829859470229081
357105141,interevent,1617.993926275716,1618.2133727239564,0.0514834344877485
357105141,interevent,1618.2133727239564,1623.35785149269,1.274243249987204
357105141,interevent,1623.35785149269,1629.7259130331245,1.1718427507293803
357105141,interevent,1629.7259130331245,1630.191191010018,0.11213220850094202
357105141,interevent,1630.191191010018,1634.514796661715,1.1107622525319807
357105141,interevent,1634.514796661715,1634.937017544883,0.11650953129778319
357105141,interevent,1634.937017544883,1635.8953472054477,0.3013490077544473
357105141,interevent,1635.8953472054477,1637.071730182367,0.4045830653592667
357105141,interevent,1637.071730182367,1638.8147722223848,0.6319354470753366
357105141,interevent,1638.8147722223848,1646.6008053810492,2.0467859451091464
357105141,interevent,3069.402912625236,3077.587730235037,0.9598472511684779
357105141,interevent,3077.587730235037,3080.2141380853345,0.4004352702319229
357105141,interevent,3080.2141380853345,3080.451639676843,0.04633710433608272
357105141,interevent,3080.451639676843,3082.3863753214155,0.45054515732523576
357105141,interevent,3082.3863753214155,3082.7044333570493,0.08584777857999128
357105141,interevent,3082.7044333570493,3083.0947143075764,0.12280896491479609
357105141,interevent,3083.0947143075764,3091.3808429076144,2.2500697497206574
357105141,interevent,3091.3808429076144,3092.415562508349,0.27860115772806965
357105141,interevent,3092.415562508349,3092.9488942336493,0.16403099241696315
357105141,interevent,3092.9488942336493,3093.678058463522,0.25214232068371345
357105141,interevent,3093.678058463522,3100.805807127999,1.911513997000505
357105141,interevent,3100.805807127999,3103.4655041248097,0.7556955648617953
357105141,interevent,3103.4655041248097,3103.994664979105,0.16369456363508642
357105141,interevent,3103.994664979105,3107.321012695161,1.0006755956889233
357105141,interevent,3107.321012695161,3114.895906935711,2.0452802318049015
357105141,interevent,3114.895906935711,3121.6763222264426,1.5288966326436138
357105301,initial,1596.7713100183755,1606.1715536223153,0.7797571926579748
357105301,interevent,1606.1715536223153,1609.259101803373,0.39498396021238247
357105301,interevent,1609.259101803373,1619.1286514650617,1.2510228902772538
357105301,interevent,1619.1286514650617,1620.041158841491,0.1563888070559947
357105301,interevent,1620.041158841491,1622.662008855404,0.5388641051286239
357105301,interevent,1622.662008855404,1631.9661852826223,1.5854519140879897
357105301,interevent,2338.796273986818,2344.7366286430806,0.7326716521392989
357105301,interevent,2344.7366286430806,2344.8338519252684,0.016035120955993125
357105301,interevent,2344.8338519252684,2345.4435806550555,0.1293871450752377
357105301,interevent,2345.4435806550555,2349.589451246047,0.7346637679173249
357105301,interevent,2349.589451246047,2349.668618490357,0.020581515658084353
357105301,interevent,2349.668618490357,2353.5672523832004,1.0840649542133334
357105301,interevent,2353.5672523832004,2356.045038964418,0.6929733997566503
357105301,interevent,2356.045038964418,2358.532543477105,0.7217524814651641
357105301,interevent,2358.532543477105,2364.432537052688,1.2706957339689184
357105301,interevent,2364.432537052688,2366.175585470748,0.4682010296660146
357105301,interevent,2366.175585470748,2369.417233088201,0.907501022238378
357105301,interevent,2369.417233088201,2370.092228194821,0.2026747000987265
357105301,interevent,2370.092228194821,2377.143548285812,1.7402871763427132
357105301,interevent,2377.143548285812,2380.3685043570667,0.8347664712361205
357105301,interevent,2380.3685043570667,2381.378211325962,0.282463919714004
357105301,interevent,2381.378211325962,2383.8226160329205,0.7347897734882557
357207000,initial,3068.7336248317733,3071.5387917596017,0.2326906812993354
357207000,interevent,3071.5387917596017,3118.016715623174,4.273329941926343
357311864,initial,3068.7336248317733,3078.182199823756,0.7662928967686568
357311864,interevent,3078.182199823756,3088.297543617141,1.1661314907662923
357311864,interevent,3088.297543617141,3093.9378160746314,0.7698765743529127
357314434,initial,3097.6687868623994,3105.379367817626,0.6221249998442115
357567470,initial,1596.7713100183755,1617.482910032246,1.6264511672609485
357567470,interevent,1617.482910032246,1632.1371363539824,1.5316258006031207
357567470,interevent,1632.1371363539824,1636.680181298062,0.6297491181562289
357567470,interevent,1636.680181298062,1637.296844818171,0.10945949819607445
357567470,interevent,1637.296844818171,1637.3149002724488,0.004078017951476404
357567470,interevent,1637.3149002724488,1643.5453998828366,1.2052309957947263
357567470,interevent,1643.5453998828366,1645.7773221203747,0.5287517061564742
357567470,interevent,1645.7773221203747,1649.1300600395564,0.840555700296377
357567470,interevent,1649.1300600395564,1650.8883687119555,0.46884520307227173
357567470,interevent,3071.800264195338,3075.147528023188,0.4267139092830923
357567470,interevent,3075.147528023188,3089.9448457956323,1.9408326056382235
357567470,interevent,3089.9448457956323,3120.141754318785,3.1628058759293536
357709302,initial,2361.770974363666,2387.426866775625,2.0446485515959374
357709302,interevent,2387.426866775625,3108.9169602318107,1.2115726867436885
357709302,interevent,3108.9169602318107,3111.7808157896457,0.3674830980289838
357779388,initial,3068.7336248317733,3080.026620942441,0.9192889992294411
357779388,interevent,3080.026620942441,3121.043163930368,3.808189873538102
357950905,initial,2010.2711363970304,2011.2445300472968,0.0807437266588206
357950905,interevent,2011.2445300472968,2014.9765662773293,0.47333708162639626
357950905,interevent,2014.9765662773293,2020.5655858102127,0.8617617619814795
359110060,initial,1596.7713100183755,1620.441285922118,1.8718506458177253
359137193,initial,1596.7713100183755,1601.8021434650889,0.4173113730260076
359137193,interevent,1601.8021434650889,1602.336875837245,0.07093717429896199
359137193,interevent,1602.336875837245,1602.342431497308,0.0010131344847272756
359137193,interevent,1602.342431497308,1620.770416203453,2.7933285595597313
359137193,interevent,1620.770416203453,1621.155140304474,0.0641045854381293
359137193,interevent,1621.155140304474,1630.8898608980644,1.5060487309780044
359137193,interevent,1630.8898608980644,1633.6009633998442,0.49707892933946884
359137193,interevent,1633.6009633998442,1635.0134565313533,0.3049803320429003
359137193,interevent,1635.0134565313533,1637.5787164122376,0.6216203167133988
359137193,interevent,1637.5787164122376,1644.768909834137,1.3928080847633812
359137193,interevent,1644.768909834137,1645.2425150052454,0.1135729995697986
359137193,interevent,1645.2425150052454,1648.4271932966633,0.8393162138574457
359137193,interevent,1648.4271932966633,1648.4508040538412,0.006894890561497799
359137193,interevent,1648.4508040538412,1651.1382605407775,0.8505826614632416
359137193,interevent,2337.8060910861554,2338.7199925594523,0.12055766378140978
359137193,interevent,2338.7199925594523,2345.925626483402,1.1337203306060821
359137193,interevent,2345.925626483402,2352.193718593926,0.8654874293348267
359137193,interevent,2352.193718593926,2359.131225081146,1.1854905360465233
359137193,interevent,2359.131225081146,2361.9131625639234,0.2987685939525713
359137193,interevent,2361.9131625639234,2361.9145514477564,0.00031512174701672915
359137193,interevent,2361.9145514477564,2361.954829074019,0.011170970566757248
359137193,interevent,2361.954829074019,2367.560351542741,1.5702307492792524
359137193,interevent,2367.560351542741,2368.3659004621154,0.2282085769246348
359137193,interevent,2368.3659004621154,2374.5269458403213,1.7004026930600002
359137193,interevent,2374.5269458403213,2382.483765132971,1.5639518303877025
359137193,interevent,2382.483765132971,2382.6434843830298,0.038060990279784
359137193,interevent,2382.6434843830298,3070.151635452118,1.8110859048626242
359137193,interevent,3070.151635452118,3070.8683118548925,0.09481658222309478
359137193,interevent,3070.8683118548925,3071.7169333121124,0.15138426336397848
359137193,interevent,3071.7169333121124,3071.8363791276674,0.026907934770288713
359137193,interevent,3071.8363791276674,3077.693373274041,1.3386006101947476
359137193,interevent,3077.693373274041,3081.179502959338,0.8091568350108523
359137193,interevent,3081.179502959338,3082.6253440355213,0.3656919971721767
359137193,interevent,3082.6253440355213,3085.314245714213,0.6748726881352911
359137193,interevent,3085.314245714213,3087.0934138501707,0.5137696159253163
359137193,interevent,3087.0934138501707,3087.555913574224,0.14761357379319773
359137193,interevent,3087.555913574224,3088.614245437415,0.37614067539004903
359137193,interevent,3088.614245437415,3089.098966628081,0.18845351913768044
359137193,interevent,3089.098966628081,3090.872572256387,0.6426219542979875
359137193,interevent,3090.872572256387,3091.0142383781185,0.06174841854506058
359137193,interevent,3091.0142383781185,3092.104511484855,0.5097784764029607
359137193,interevent,3092.104511484855,3092.5781203227543,0.23391395505602644
359137193,interevent,3092.5781203227543,3092.603120198924,0.01341142730060484
359137193,interevent,3092.603120198924,3094.710053133332,1.1513757892682133
359137193,interevent,3094.710053133332,3098.5794777857827,1.3910647825268738
359137193,interevent,3098.5794777857827,3099.3419723838333,0.3589434496944603
359137193,interevent,3099.3419723838333,3099.9239119151,0.2909469784636862
359137193,interevent,3099.9239119151,3102.0405566144946,1.06733184194428
359137193,interevent,3102.0405566144946,3103.68775844153,0.8113454379218801
359137193,interevent,3103.68775844153,3106.815491604822,1.3597768147632219
359137193,interevent,3106.815491604822,3113.536219586565,2.5031886877650584
359137193,interevent,3113.536219586565,3113.5473305037026,0.003999529326547185
359137193,interevent,3113.5473305037026,3113.552885962155,0.0022807971119026037
359137193,interevent,3113.552885962155,3114.6681430947706,0.4960829508438267
359137193,interevent,3114.6681430947706,3116.525049305358,0.8383493264429619
359137193,interevent,3116.525049305358,3120.224963692193,1.4956107107406726
359137193,interevent,3120.224963692193,3121.3291030303094,0.45337522789660023
359299728,initial,2333.854319276754,2335.74678148471,0.15698114651717965
359299728,interevent,2335.74678148471,2337.448177662221,0.2218920384745773
359299728,interevent,2337.448177662221,2338.062068546217,0.1078769026071778
359299728,interevent,2338.062068546217,2341.0620727020005,0.6255327788183853
359299728,interevent,2341.0620727020005,3041.448748999141,3.0598977488290555
359299728,interevent,3041.448748999141,3042.598788038236,0.15118375805261364
359299728,interevent,3042.598788038236,3066.090915918377,2.897035035642954
359357695,initial,2333.854319276754,2336.509039830224,0.22021104274338396
359357695,interevent,2336.509039830224,2338.241005155405,0.22578026363886472
359357695,interevent,2338.241005155405,2381.14911064656,4.369886998543832
359357695,interevent,2381.14911064656,3058.6919290883334,2.46727629967044
359627920,initial,1569.4379882598296,1579.873878308088,0.865664834846065
359627920,interevent,1579.873878308088,1619.1945888149985,3.5391495931863175
359641042,initial,1596.7713100183755,1603.34523536748,0.5453119930649865
359641042,interevent,1603.34523536748,1603.535516816429,0.025373668654509397
359641042,interevent,1603.535516816429,1608.1786525520426,0.7758162139544884
359641042,interevent,1608.1786525520426,1616.3954091162966,1.2005831004105463
359641042,interevent,1616.3954091162966,1620.963501398913,0.8107357656727527
359641042,interevent,1620.963501398913,1622.667676682095,0.3468699862793828
359641042,interevent,1622.667676682095,1622.941288794679,0.06689273076990492
359641042,interevent,2334.372713614526,2336.82692152701,0.3166983906426047
359641042,interevent,2336.82692152701,2336.85331083701,0.004626984344811177
359641042,interevent,2336.85331083701,2337.208872019321,0.07964493412654275
359641042,interevent,2337.208872019321,2338.2241653791066,0.26930120865463886
359641042,interevent,2338.2241653791066,2339.3727932463007,0.34297924630410215
359641042,interevent,2339.3727932463007,2343.185342159788,1.1591036321682386
359641042,interevent,2343.185342159788,2344.2075757422463,0.32007405300460257
359641042,interevent,2344.2075757422463,2345.0575846285496,0.2936907641254991
