TIC,Sector,Orbit,Start_BTJD,End_BTJD
7785194,4,15,1413.2713909996671,1418.4797243336216
7785194,4,15,1421.2297243340872,1423.5005576675758
7785194,4,16,1424.5630576680414,1436.833879429381
7785194,31,69,2144.514134055469,2157.451622482855
7785194,31,70,2158.861344705336,2169.944678040687
7785194,32,71,2174.222455819603,2185.9377220263705
7785194,32,72,2186.9446664713323,2200.2293886975385
7807668,31,69,2144.514134055469,2157.451622482855
7807668,31,70,2158.861344705336,2169.944678040687
8511113,38,83,2333.854319276754,2346.3334859414026
8511113,38,84,2347.2987637189217,2360.5487521416508
8511113,65,137,3068.7336248317733,3075.9674095525406
8511113,65,137,3076.178057700861,3083.47435399564
8511113,65,138,3083.685002143495,3087.4674095502123
8511113,65,138,3087.4697243650444,3090.252131771762
8511113,65,138,3090.462779919617,3096.58777991822
11244460,52,111,2718.631935013924,2720.208312328439
11244460,52,111,2720.2152567729354,2730.29859010363
11244460,52,112,2731.444423436653,2743.0763678778894
12359032,2,11,1354.1047474853694,1367.1464141495526
12359032,2,12,1368.6047359085642,1381.5005692406558
12359212,29,65,2088.2363794292323,2101.375256741885
12359212,29,66,2102.326645630412,2114.430812295992
12377787,2,11,1354.1047474853694,1367.1464141495526
12377787,2,12,1368.6047359085642,1381.5005692406558
12377897,29,65,2088.2363794292323,2101.375256741885
12377897,29,66,2102.326645630412,2114.430812295992
12377912,29,65,2088.2363794292323,2101.375256741885
12377912,29,66,2102.326645630412,2114.430812295992
12393842,29,65,2088.2363794292323,2101.375256741885
12393842,29,66,2102.326645630412,2114.430812295992
12394898,2,11,1354.1047474853694,1367.1464141495526
12394898,2,12,1368.6047359085642,1381.5005692406558
12394976,29,65,2088.2363794292323,2101.375256741885
12394976,29,66,2102.326645630412,2114.430812295992
12418075,29,65,2088.2363794292323,2101.375256741885
12418075,29,66,2102.326645630412,2114.430812295992
12418282,29,65,2088.2363794292323,2101.375256741885
12418282,29,66,2102.326645630412,2114.430812295992
12420159,29,65,2088.2363794292323,2101.375256741885
12420159,29,66,2102.326645630412,2114.430812295992
12424475,29,65,2088.2363794292323,2101.375256741885
12424475,29,66,2102.326645630412,2114.430812295992
12787754,42,91,2447.687606282532,2460.3056502612308
12787754,42,92,2461.2362058167346,2473.159816926345
13020091,5,17,1437.97971276287,1450.1880460991524
13020091,5,18,1451.563046099618,1464.2713678628206
13020091,32,71,2174.222455819603,2185.9377220263705
13020091,32,72,2186.9446664713323,2200.2293886975385
13324350,5,17,1437.97971276287,1450.1880460991524
13324350,5,18,1451.563046099618,1464.2713678628206
13324350,32,71,2174.222455819603,2185.9377220263705
13324350,32,72,2186.9446664713323,2200.2293886975385
13912397,5,17,1437.97971276287,1450.1880460991524
13912397,5,18,1451.563046099618,1464.2713678628206
13912397,31,69,2144.514134055469,2157.451622482855
13912397,31,70,2158.861344705336,2169.944678040687
13912397,32,71,2174.222455819603,2185.9377220263705
13912397,32,72,2186.9446664713323,2200.2293886975385
13955147,4,15,1410.917224333156,1413.2505576666445
13955147,4,15,1413.2713909996671,1418.4797243336216
13955147,4,15,1421.2297243340872,1423.5005576675758
13955147,4,16,1424.5630576680414,1436.833879429381
13955147,5,17,1437.97971276287,1450.1880460991524
13955147,5,18,1451.563046099618,1464.2713678628206
13955147,31,69,2144.514134055469,2157.451622482855
13955147,31,70,2158.861344705336,2169.944678040687
13955147,32,71,2174.222455819603,2185.9377220263705
13955147,32,72,2186.9446664713323,2200.2293886975385
13981777,31,69,2144.514134055469,2157.451622482855
13981777,31,70,2158.861344705336,2169.944678040687
13981777,32,71,2174.222455819603,2185.9377220263705
13981777,32,72,2186.9446664713323,2200.2293886975385
14076629,42,91,2447.687606282532,2460.3056502612308
14076629,42,92,2461.2362058167346,2473.159816926345
14076629,43,93,2474.166761370376,2486.1250831289217
14076629,43,94,2487.180638684425,2498.888972017914
14076629,44,95,2500.1875831289217,2511.7223053518683
14076629,44,96,2513.2014604443684,2519.4167382232845
14076629,44,96,2519.4236826677807,2524.4375715572387
14076858,42,91,2447.687606282532,2460.3056502612308
14076858,42,92,2461.2362058167346,2473.159816926345
14076858,43,93,2474.166761370376,2486.1250831289217
14076858,43,94,2487.180638684425,2498.888972017914
14076858,44,95,2500.1875831289217,2511.7223053518683
14076858,44,96,2513.2014604443684,2519.4167382232845
14076858,44,96,2519.4236826677807,2524.4375715572387
14078240,44,95,2500.1875831289217,2511.7223053518683
14078240,44,96,2513.2014604443684,2519.4167382232845
14078240,44,96,2519.4236826677807,2524.4375715572387
14078777,43,93,2474.166761370376,2486.1250831289217
14078777,43,94,2487.180638684425,2498.888972017914
14078777,44,95,2500.1875831289217,2511.7223053518683
14078777,44,96,2513.2014604443684,2519.4167382232845
14078777,44,96,2519.4236826677807,2524.4375715572387
14085128,5,17,1437.97971276287,1450.1880460991524
14085128,5,18,1451.563046099618,1464.2713678628206
14085128,6,19,1468.2713678642176,1477.0213678670116
14085128,6,20,1478.1047012005,1490.0421896306798
14085128,32,71,2174.222455819603,2185.9377220263705
14085128,32,72,2186.9446664713323,2200.2293886975385
14087575,5,17,1437.97971276287,1450.1880460991524
14087575,5,18,1451.563046099618,1464.2713678628206
14087575,32,71,2174.222455819603,2185.9377220263705
14087575,32,72,2186.9446664713323,2200.2293886975385
14108773,43,93,2474.166761370376,2486.1250831289217
14108773,43,94,2487.180638684425,2498.888972017914
14108972,44,95,2500.1875831289217,2511.7223053518683
14108972,44,96,2513.2014604443684,2519.4167382232845
14108972,44,96,2519.4236826677807,2524.4375715572387
14109537,42,91,2447.687606282532,2460.3056502612308
14109537,42,92,2461.2362058167346,2473.159816926345
14109537,43,93,2474.166761370376,2486.1250831289217
14109537,43,94,2487.180638684425,2498.888972017914
14109888,43,93,2474.166761370376,2486.1250831289217
14109888,43,94,2487.180638684425,2498.888972017914
14109888,44,95,2500.1875831289217,2511.7223053518683
14109888,44,96,2513.2014604443684,2519.4167382232845
14109888,44,96,2519.4236826677807,2524.4375715572387
14112924,42,91,2447.687606282532,2460.3056502612308
14112924,42,92,2461.2362058167346,2473.159816926345
14155535,42,91,2447.687606282532,2460.3056502612308
14155535,42,92,2461.2362058167346,2473.159816926345
14155762,42,91,2447.687606282532,2460.3056502612308
14155762,42,92,2461.2362058167346,2473.159816926345
14155762,43,93,2474.166761370376,2486.1250831289217
14155762,43,94,2487.180638684425,2498.888972017914
14156573,42,91,2447.687606282532,2460.3056502612308
14156573,42,92,2461.2362058167346,2473.159816926345
14156573,43,93,2474.166761370376,2486.1250831289217
14156573,43,94,2487.180638684425,2498.888972017914
14156573,44,95,2500.1875831289217,2511.7223053518683
14156573,44,96,2513.2014604443684,2519.4167382232845
