TIC,waiting_time_type,t_prev_btjd,t_curr_btjd,exposure_days,calendar_days,unobserved_days,overlaps_corrupted_orbit,match_type_curr
7491381,interevent,2184.291796313547,2185.237629338488,0.9458330249412938,0.9458330249412938,0.0,False,exact
7491381,interevent,2185.237629338488,2188.4543037507046,2.2097299672545887,3.2166744122164346,1.0069444449618459,False,exact
7491381,interevent,2188.4543037507046,2190.4043073693306,1.9500036186259422,1.9500036186259422,0.0,False,exact
7491381,interevent,2190.4043073693306,2191.2945850463875,0.890277677056929,0.890277677056929,0.0,False,exact
7491381,interevent,2191.2945850463875,2194.514021540557,3.219436494169713,3.219436494169713,0.0,False,exact
7491381,interevent,2194.514021540557,2194.5195770726923,0.005555532135076646,0.005555532135076646,0.0,False,exact
7491381,interevent,2194.5195770726923,2195.330684419237,0.8111073465447589,0.8111073465447589,0.0,False,exact
7491381,interevent,2195.330684419237,2197.6917805923067,2.3610961730696545,2.3610961730696545,0.0,False,exact
7491381,interevent,2197.6917805923067,2198.663994888352,0.9722142960454221,0.9722142960454221,0.0,False,exact
7491381,interevent,2198.663994888352,2202.877855348909,2.7138604600913823,4.2138604605570436,1.5000000004656613,False,exact
7491381,interevent,2202.877855348909,2203.9486814830384,1.07082613412922,1.07082613412922,0.0,False,exact
7491381,interevent,2203.9486814830384,2204.204235063896,0.255553580857395,0.255553580857395,0.0,False,exact
7491381,interevent,2204.204235063896,2205.5653342236405,1.3610991597447537,1.3610991597447537,0.0,False,exact
7491381,interevent,2205.5653342236405,2207.298649207872,1.7333149842315834,1.7333149842315834,0.0,False,exact
7491381,interevent,2207.298649207872,2207.472258301608,0.17360909373564937,0.17360909373564937,0.0,False,exact
7491381,interevent,2207.472258301608,2213.3874486803475,5.9151903787396805,5.9151903787396805,0.0,False,exact
7491381,interevent,2213.3874486803475,2213.562445560017,0.17499687966937927,0.17499687966937927,0.0,False,exact
7491381,interevent,2213.562445560017,2216.4874054081733,1.3555154031946586,2.9249598481565044,1.5694444449618459,False,exact
7491381,interevent,2216.4874054081733,2219.9706828300305,3.4832774218571103,3.4832774218571103,0.0,False,exact
7491381,interevent,2219.9706828300305,2220.2012341713967,0.23055134136620836,0.23055134136620836,0.0,False,exact
7491381,interevent,2220.2012341713967,2221.883146233719,1.6819120623222261,1.6819120623222261,0.0,False,exact
7491381,interevent,2221.883146233719,2224.062266841583,2.1791206078642062,2.1791206078642062,0.0,False,exact
7491381,interevent,2224.062266841583,2225.7261174781347,1.663850636551615,1.663850636551615,0.0,False,exact
7491381,final_censored,2225.7261174781347,2227.5696549103595,1.8435374322248208,1.8435374322248208,0.0,False,
7586485,initial,1410.917224333156,1411.2693478816884,0.3521235485325178,0.3521235485325178,0.0,False,exact
7586485,interevent,1411.2693478816884,1425.427867377001,10.325186161358488,14.158519495312476,3.8333333339539877,False,exact
7586485,interevent,1425.427867377001,1428.4167782324623,2.9889108554614268,2.9889108554614268,0.0,False,exact
7586485,interevent,1428.4167782324623,1431.5015091469756,3.0847309145133295,3.0847309145133295,0.0,False,exact
7586485,interevent,1431.5015091469756,1433.519563097084,2.018053950108424,2.018053950108424,0.0,False,exact
7586485,interevent,1433.519563097084,1438.9125964840166,4.247200053443748,5.3930333869325295,1.1458333334887811,False,exact
7586485,interevent,1438.9125964840166,1439.8139824787177,0.9013859947010587,0.9013859947010587,0.0,False,exact
7586485,interevent,1439.8139824787177,1440.9098104155837,1.0958279368660442,1.0958279368660442,0.0,False,exact
7586485,interevent,1440.9098104155837,1441.4750846543654,0.5652742387817398,0.5652742387817398,0.0,False,exact
7586485,interevent,1441.4750846543654,1441.7959157609869,0.32083110662142644,0.32083110662142644,0.0,False,exact
7586485,interevent,1441.7959157609869,1442.032025134822,0.23610937383523378,0.23610937383523378,0.0,False,exact
7586485,interevent,1442.032025134822,1442.723686239328,0.6916611045057834,0.6916611045057834,0.0,False,exact
7586485,interevent,1442.723686239328,1443.48340155671,0.759715317382188,0.759715317382188,0.0,False,exact
7586485,interevent,1443.48340155671,1445.9778176174718,2.4944160607617505,2.4944160607617505,0.0,False,exact
7586485,interevent,1445.9778176174718,1447.3083544416604,1.3305368241885844,1.3305368241885844,0.0,False,exact
7586485,interevent,1447.3083544416604,1448.840274083589,1.5319196419286527,1.5319196419286527,0.0,False,exact
7586485,interevent,1448.840274083589,1457.044296512932,6.829022428877352,8.204022429343013,1.3750000004656613,False,exact
7586485,interevent,1457.044296512932,1461.0511432058274,4.006846692895351,4.006846692895351,0.0,False,exact
7586485,interevent,1461.0511432058274,2151.438616585151,10.144707186675078,690.3874733793236,680.2427661926486,True,exact
7586485,interevent,2151.438616585151,2169.480322608425,16.631983800793023,18.041706023273946,1.409722222480923,False,exact
7586485,interevent,2169.480322608425,2175.2150020134263,1.456901626085255,5.734679405001316,4.277777778916061,False,exact
7586485,interevent,2175.2150020134263,2193.713259276638,17.491312818249753,18.4982572632116,1.0069444449618459,False,exact
7586485,interevent,2193.713259276638,2197.4437021228173,3.7304428461793577,3.7304428461793577,0.0,False,exact
7586485,final_censored,2197.4437021228173,2200.2293886975385,2.7856865747212396,2.7856865747212396,0.0,False,
