,TIC,T_peak,T_start,T_end,Amplitude,ED,Primary_or_Secondary,Num_Points,Num_Abv_Threshold,Amp_Sigma
87,319562179.0,2979.9383382078577,2979.927227221225,2979.9522269410613,0.17145383189521257,184.67791620237247,primary,18,14,7.265519489995164
88,293969029.0,2982.964499682667,2982.964499682667,2982.9742218659208,0.19138492984214572,67.83696614578551,primary,7,7,21.02303128109305
89,67830039.0,2479.079979258747,2479.0758122376865,2479.0994253565595,0.039237851346239694,45.21978851780142,primary,17,14,8.086079271357525
90,440704123.0,2480.352201300504,2480.352201300504,2480.357757324624,0.07279664621886384,19.965110339493705,primary,4,4,5.6480027527422525
91,237918271.0,2122.655153432206,2122.6523756685897,2122.6620978411897,0.07163890107631699,56.07065222982706,primary,7,5,3.777905157455553
92,237918271.0,2130.7342695043612,2130.7314917407443,2130.743991677194,0.13781747956642643,90.32911754510651,primary,9,7,7.267858091330389
93,361225005.0,3042.7221967141545,3042.720807823803,3042.7402522861544,0.044618793295559955,55.04177546793235,primary,14,9,4.008934168515772
94,361225005.0,3063.483161828389,3063.4817729592255,3063.544272066914,0.8297887402671895,655.20986920774,primary,45,33,74.55532047832912
95,361225005.0,3063.488717304576,3063.488717304576,3063.491495042902,0.03110829452593422,7.657304232848757,secondary,1,1,2.795035357033735
96,61145620.0,2480.2606345811982,2480.25924557674,2480.314805758584,0.1916056311594212,282.90222145015144,primary,40,25,21.179732828846078
97,167439141.0,1462.6590527270334,1462.656274943625,1462.6729416437263,1.7834314489148144,1206.7051539193674,primary,11,7,9.617897344130625
98,70742059.0,1362.9924618904054,1362.9827395616537,1363.0077398353876,0.03223137507004781,39.32135534413984,primary,18,15,9.751359480501467
99,359766954.0,3045.0889397285887,3045.0833840184064,3045.13199648198,0.06349882174514443,102.17203466755487,primary,35,24,18.11305541484036
100,388128331.0,2996.1592449152317,2996.1564671402307,2996.191189328151,0.11402918674712148,177.0536014622058,primary,25,19,10.249515154589597
101,219198133.0,2974.44368727657,2974.4422984160333,2974.46313132352,0.3250675527893123,176.34807597227646,primary,15,11,16.97335788850699
102,219198133.0,2981.5102286471542,2981.5102286471542,2981.5171729447216,0.15010542479684363,41.25643480257575,primary,4,3,7.837734262375035
103,219198133.0,2984.0018393642454,2983.993506228607,2984.004617076124,0.11607514182396828,52.877948170233516,primary,7,3,6.060847682987189
104,356900912.0,3100.237701773533,3100.237701773533,3100.241868408933,0.019018232160275872,4.042122407007656,primary,3,4,6.0149516139513075
105,356900912.0,3103.466838033591,3103.4640602864365,3103.482115643172,0.06162630949248582,52.121009114793104,primary,12,13,19.490732188975098
106,356900912.0,3104.618213713286,3104.616824840873,3104.6265469472987,0.02578525413120647,10.387826029960404,primary,7,6,8.155177339595332
107,356900912.0,3111.800062248719,3111.7986733772373,3111.8250619370174,0.021603173644569873,29.82633854880025,primary,18,14,6.832498577406734
108,356900912.0,3113.5597607155414,3113.547260905501,3113.6042044816463,0.016721653509989,51.48392632092962,primary,41,28,5.288606002924295
109,356900912.0,3115.709724110535,3115.6888911624096,3115.797222486746,0.07999105369030746,344.3817039903737,primary,78,68,25.299003263887027
110,453095065.0,2103.5570462677956,2103.5570462677956,2103.565379554187,0.10179642260961352,30.86319870011377,primary,6,6,12.44418938793411
111,453095065.0,2107.2681358855193,2107.259802601164,2107.290357977095,0.04928400786907261,77.79218342917328,primary,21,14,6.024765035910558
112,125736701.0,2478.2229224936364,2478.2104214111323,2478.2576477215207,0.023611951188919678,67.01012438060839,primary,26,13,4.446357272383244
113,125736701.0,2488.8237806506595,2488.8168356537444,2488.8543386365295,0.2364326778953858,253.08591009898677,primary,27,24,44.52254489169526
114,252849400.0,2886.814984049873,2886.812206183988,2886.821928714121,0.01264453050977532,5.51855729836315,primary,7,4,5.409317056230813
115,252849400.0,2905.447236453632,2905.4444586711,2905.458347584691,0.00906385627508266,7.420736077400976,primary,10,6,3.8775083271083437
