Unnamed: 0,TIC,T_peak,T_start,T_end,Amplitude,ED,Primary_or_Secondary,Num_Points,Num_Abv_Threshold,Amp_Sigma,Sector,Orbit,match_type
13205,359137193,3102.0405566144946,3102.035001123212,3102.0572230874072,0.0161584675663619,12.963027401299428,primary,15,3,6.160470548845565,66,139,exact
13206,359137193,3103.68775844153,3103.6863695707475,3103.6960916655303,0.0182653682532316,9.57911036328434,primary,7,6,6.963733579668081,66,139,exact
13207,359137193,3106.815491604822,3106.8127138695427,3106.846046693365,0.0411914702835947,46.221177450851386,primary,24,21,15.704387715206186,66,139,exact
13208,359137193,3113.536219586565,3113.536219586565,3113.537608451295,0.0824882858708671,8.350240716214778,secondary,1,1,31.448938684638076,66,140,exact
13209,359137193,3113.5473305037026,3113.534830722069,3113.6570507961465,0.2738922138538653,752.3565375760281,primary,87,76,104.4223352292027,66,140,exact
13210,359137193,3113.552885962155,3113.552885962155,3113.5556636913816,0.0255738490940997,3.769305157882695,secondary,1,1,9.750116681410876,66,140,exact
13211,359137193,3114.6681430947706,3114.6653653708986,3114.69592033255,0.0266675913609744,36.4611292662949,primary,21,18,10.167109629253012,66,140,exact
13212,359137193,3116.525049305358,3116.5236604464494,3116.5306047407607,0.014048816966877,5.714790546153464,primary,5,5,5.356159104514273,66,140,exact
13213,359137193,3120.224963692193,3120.2235748372427,3120.233296821896,0.0170542538540134,6.912169429109891,primary,7,4,6.501992108391534,66,140,exact
13214,359137193,3121.3291030303094,3121.3277141760577,3121.363824382886,0.0809956611221311,87.07469663637161,primary,26,22,30.87987043807935,66,140,exact
13215,258067178,2522.949268108937,2522.947879186667,2522.953434876212,0.1395247479756729,39.67955424054625,primary,4,3,4.490810658553505,44,96,exact
13216,117621564,2904.5901985294554,2904.5888096374915,2904.594365204883,0.0256261030129258,6.951492849080787,primary,4,5,5.269168632320969,58,124,exact
13217,117621564,2906.324921363311,2906.322143589161,2906.351310212848,0.0391977453618423,34.925363131686865,primary,20,6,8.059732305538047,58,124,exact
13218,117621564,2909.840179894837,2909.8332355137104,2909.872124048668,0.0598826015125164,90.48578274452191,primary,28,20,12.312895384537116,58,124,exact
13219,387719481,2487.326096420403,2487.3247073946395,2487.330263497924,0.1468912806973425,43.36746947445686,primary,4,3,4.578644000070276,43,94,exact
13220,387719481,2487.778918917228,2487.778918917228,2487.7830859950964,0.1715967887811444,29.51725458341968,primary,3,3,5.3487218822943206,43,94,exact
13221,387719481,2493.1294244901924,2493.1224794169084,2493.1599828111066,0.5254402885546485,636.8749064771935,primary,27,21,16.378126823898402,43,94,exact
13222,24451239,2179.2302814098803,2179.228892503913,2179.235837033751,0.0028453293013159,0.9244971098896714,primary,5,5,6.512281818674027,32,71,exact
13223,24451239,2181.262247838067,2181.260858936291,2181.265025641854,0.0026315018587237,0.5241125801168814,primary,3,4,6.022881675751037,32,71,exact
13224,24451239,2190.94841915842,2190.941474693075,2190.955363623533,0.0040186078828614,3.0438357334126467,primary,10,9,9.197637348982733,32,72,exact
13225,72858760,3046.1675935459216,3046.1606490254817,3046.170371354562,0.0051192600688427,2.9091199417986147,primary,7,3,3.59019616640886,64,135,exact
13226,72858760,3046.7592665160364,3046.7578776128794,3046.7759333548483,0.0075630493938256,7.611321082452505,primary,13,8,5.304053823194761,64,135,exact
13227,72858760,3047.789832149304,3047.787054345785,3047.803721166435,0.0101452346792159,7.124499582228152,primary,12,6,7.114970164208275,64,135,exact
13228,72858760,3051.834304983688,3051.832916087982,3051.8468050441106,0.0072206333090847,5.259724855010298,primary,10,7,5.063913471225579,64,135,exact
13229,72858760,3054.6357025679854,3054.6329247882168,3054.6718137022085,0.0125220138528814,20.919985746581528,primary,28,23,8.781832828527516,64,135,exact
13230,72858760,3056.588476418537,3056.577365351144,3056.596809718734,0.0120057734640663,11.697009638886064,primary,14,12,8.419787486047362,64,136,exact
13231,72858760,3058.127357852516,3058.1231912096355,3058.1301356145914,0.0046065427810551,1.7277798802425146,primary,5,3,3.2306216153384395,64,136,exact
13232,72858760,3062.8842633753743,3062.8814856272693,3062.905096485001,0.0091953241370101,8.797434115274408,primary,17,10,6.448786938273972,64,136,exact
13233,72858760,3064.873128870276,3064.87173999925,3064.8759066127927,0.0076399087841179,1.474602176765356,primary,3,3,5.357956200622141,64,136,exact
13234,72858760,3066.449496319571,3066.4342187615694,3066.4578295326887,0.0074258090672698,8.888391346634618,primary,17,13,5.207805598324094,64,136,exact
13235,282051790,2324.346760442819,2324.334260303691,2324.3953720939494,0.0183642409628737,39.08783531271693,primary,44,29,11.84863458188378,37,82,exact
13236,282051790,2330.274593999214,2330.273205099653,2330.294038593309,0.0079356685404059,8.903814150095235,primary,15,11,5.120104712648437,37,82,exact
13237,67768181,2500.7316023003305,2500.7316023003305,2500.737158223171,0.3419527984642925,99.4588368565231,primary,4,4,10.216676105961335,44,95,exact
13238,67768181,2513.8308939355397,2513.828116028136,2513.835060796413,0.1655930543382673,50.69192377232044,primary,4,3,4.947497459207359,44,96,exact
13239,300866996,1544.731214474166,1544.729825568268,1544.7381590035343,0.0379084543625642,16.33106662603223,primary,6,3,5.013788107316247,9,25,exact
13240,300866996,1554.2438088434187,1554.242419946428,1554.270197885612,0.1434997225581449,102.57376954301944,primary,20,17,18.97933361998828,9,25,exact
13241,300866996,1554.3590872814052,1554.3590872814052,1554.3826985246092,0.0939947389853976,94.70053535708136,primary,17,11,12.43178368518961,9,25,exact
13242,260473548,2081.866683198116,2081.8639053833763,2081.883350086433,0.0434153582499206,45.27085025184245,primary,14,7,5.381535742441568,28,64,exact
13243,427580133,2451.05663973277,2451.053861682943,2451.0621958324214,0.1479246815936727,58.88169632443652,primary,6,6,7.368959600293333,42,91,exact
13244,440686690,2474.924019890229,2474.9212418522075,2474.962912420431,0.2503501913921133,234.75123407596664,primary,30,13,18.130713415746843,43,93,exact
13245,440686690,2497.674415535229,2497.673026558943,2497.6799714399103,0.0577066993917101,22.301683187012397,primary,5,4,4.179200435285583,43,94,exact
13246,419947008,3046.5493874140584,3046.546609560713,3046.552165266938,0.0353849743945497,11.48680296149537,primary,4,3,3.5312792535234627,64,135,exact
13247,419947008,3050.063365733484,3050.0605878894507,3050.070310342864,0.0615541670880852,24.98149981390176,primary,7,4,6.1428602655581415,64,135,exact
13248,419947008,3059.86908794502,3059.8676990432605,3059.8732546502997,0.0535214442428422,14.935538069754402,primary,4,3,5.3412265773031695,64,136,exact
13249,269797536,2334.8819287108868,2334.8819287108868,2334.887484388597,0.1000898383716362,16.60739307667789,primary,4,3,18.131620908539897,38,83,exact
13250,269797536,2343.284874561598,2343.280707816979,2343.287652391343,0.0288016785663696,5.451225392467462,primary,5,3,5.217523834497684,38,83,exact
13251,269797536,2344.986295057745,2344.984906143163,2345.0015731182607,0.1041165939893014,36.591248418651325,primary,12,6,18.86108163640864,38,83,exact
13252,269797536,2345.7904766563784,2345.789087741505,2345.798810145558,0.3014049108206365,107.09670907475238,secondary,1,1,54.60054359045438,38,83,exact
13253,269797536,2345.822421698396,2345.782143167258,2345.8682558901323,0.6175039554631436,1059.6879462518475,primary,59,53,111.86298041974342,38,83,exact
13254,269797536,2346.191873108416,2346.189095277739,2346.193262023696,0.0282554728322348,6.643505975983124,primary,2,3,5.118576773831744,38,83,exact
13255,269797536,2350.0294491769537,2350.0238935196166,2350.04194940592,0.0344869318222493,24.99499169620525,primary,12,6,6.247427154172401,38,84,exact
13256,269797536,2357.1629013413435,2357.161512431126,2357.179568263879,0.1448437466969223,60.03409455813254,primary,13,10,26.23894641861476,38,84,exact
13257,269797536,2357.7490214059444,2357.7448546759365,2357.769855055869,0.0418029058170676,59.37960234525561,primary,18,15,7.572741184136634,38,84,exact
13258,13955147,2146.801711466036,2146.8003225412085,2146.8031003910974,0.0021365689246197,0.2431498492846171,primary,2,3,3.348901184933186,31,69,exact
13259,13955147,2147.543396970379,2147.540619123517,2147.547563740673,0.0024980671205649,0.944137183412928,primary,5,3,3.9155207415513273,31,69,exact
13260,13955147,2147.8336819032384,2147.8309040575405,2147.853126822893,0.0165037902658489,12.46799423585613,primary,16,13,25.868373418857065,31,69,exact
13261,13955147,2151.178200973485,2151.167089636793,2151.21986848457,0.008655772543878,11.505928341578077,primary,38,18,13.567232301604298,31,69,exact
13262,13955147,2155.5532786279764,2155.540778437702,2155.586612467625,0.0213619324343377,31.857416253470703,primary,33,26,33.48312334672157,31,69,exact
13263,13955147,2161.581158053549,2161.5756024124057,2161.60893625834,0.0050003578302939,7.220820590635562,primary,24,17,7.837661621864802,31,70,exact
13264,13955147,2168.650677613303,2168.649288715939,2168.672899972292,0.012194895570631,9.60978655067475,primary,17,14,19.114525048093416,31,70,exact
13265,35602999,3031.794385144628,3031.790218537836,3031.819384784216,0.2019415189880002,300.284709818867,primary,21,14,4.674495950788767,63,134,exact
13266,35602999,3039.6359010091337,3039.6261790267376,3039.662289246636,0.3509198180434962,495.9880224347417,primary,25,13,8.12301143774861,63,134,exact
13267,359299728,3041.448748999141,3041.4418043075707,3041.4848613929803,0.0131039929953704,22.506462116473244,primary,30,25,15.412195664163155,64,135,exact
13268,359299728,3042.598788038236,3042.5946212354,3042.6001769723584,0.0036175808377101,1.1841555032371929,primary,4,4,4.254799565400682,64,135,exact
13269,359299728,3066.090915918377,3066.0811936321384,3066.120082776631,0.0077829905872899,10.408329210358543,primary,28,14,9.153925358936847,64,136,exact
13270,254844960,1634.8009487639272,1634.7940043485123,1634.8065042957005,0.0215521166962417,11.499601563004084,primary,9,6,7.782674604677405,12,31,exact
13271,254844960,1648.9257036641036,1648.918759397701,1648.9520918768046,0.023757921950323,31.440552525646105,primary,24,15,8.579211890353635,12,32,exact
13272,440732135,2491.8614116045183,2491.8600226114686,2491.8641895906185,0.1286026954753782,25.08941918367292,primary,3,3,4.323855461833552,43,94,exact
13273,440732135,2497.231232832521,2497.228454872963,2497.263179363012,1.555342330276713,600.3188023979852,primary,25,15,52.29342514889546,43,94,exact
13274,265884222,2914.781773219035,2914.7803843279885,2914.7956621285757,0.0697244460795478,61.28326321389227,primary,11,11,5.43462620672099,59,125,exact
13275,265884222,2917.1845491817635,2917.181771412707,2917.2178824132266,0.0861643138509578,161.43318892827344,primary,26,19,6.716020914734877,59,125,exact
13276,265884222,2935.277293509157,2935.275904665607,2935.2856265695245,0.0770078724907743,36.124979211810384,primary,7,4,6.002328100028478,59,126,exact
13277,265884222,2936.203650812475,2936.203650812475,2936.2161503690336,0.1964526533790092,91.6018285500446,primary,9,7,15.312373184225397,59,126,exact
13278,237918271,2973.0079828265693,2973.006593969232,2973.013538255973,0.090163792319917,33.49036282453249,primary,5,3,4.443515097569035,61,129,exact
13279,237918271,2978.346776825536,2978.345387960924,2978.3703875236006,0.5097610444192078,216.3104506959785,primary,18,11,25.122400453080168,61,130,exact
13280,84336819,2519.228249875726,2519.225471997659,2519.262973352499,0.2416805387997582,385.123913313489,primary,27,21,9.07545535163128,44,96,exact
13281,177078973,1398.6201730897365,1398.609061979761,1398.6965619720588,0.0350837983805576,104.41962806593702,primary,60,48,16.239803521762727,3,14,exact
13282,177078973,1399.8285065153364,1399.8257287369977,1399.8535065202043,0.0583188540155916,60.28222754618578,primary,20,21,26.99498841472132,3,14,exact
13283,177078973,1402.1882293026868,1402.1798959676144,1402.2437848698578,0.0121789173184958,43.760989178225934,primary,46,35,5.637451857828808,3,14,exact
13284,35155775,2505.365140721893,2505.3637517549187,2505.3679186553745,0.0638861349931567,12.21398969205885,primary,3,4,11.93757601454282,44,95,exact
13285,35155775,2505.558207073432,2505.5568181069243,2505.5734857022217,0.0248302345146056,14.219227544381113,primary,12,3,4.639704875068436,44,95,exact
13286,220425740,2231.498375547072,2231.498375547072,2231.502542130091,0.05432921849009,12.261913646835255,primary,3,3,4.364646826194013,34,75,exact
13287,220425740,2235.9871687286554,2235.9760578652304,2235.9941130182733,0.0895591695520041,64.52918396848987,primary,13,9,7.19491566426687,34,75,exact
13288,220425740,2238.54822163484,2238.546832778071,2238.5690544863182,0.0759226474625951,77.19290718634844,primary,16,11,6.099398288681574,34,75,exact
13289,349448154,2916.143608072281,2916.140830314868,2916.15055246605,0.2533444256762234,138.81267657669255,primary,7,6,6.332829842888733,59,125,exact
13290,349448154,2916.403328306925,2916.403328306925,2916.4074949404862,0.2023862464430543,40.01491090166061,primary,3,4,5.059032413457579,59,125,exact
13291,418018109,2934.897341350666,2934.897341350666,2934.907063241077,0.8348957647488138,288.3998415318319,primary,7,8,25.94771320653482,59,126,exact
