TIC,n_flares,n_primary,n_secondary,first_flare_btjd,last_flare_btjd,n_observed_sectors,has_gap_fallback_sector,exposure_days,obs_start_btjd,obs_end_btjd,flare_rate_per_day
22507789,3,3,0,1575.162459786182,1591.5528916301355,1,False,25.22915509203449,1569.4379882598296,1595.667143351864,0.11891004629588961
22766740,27,24,2,1492.305250685272,2984.417024483482,3,False,67.73607640759951,1491.625522964634,2988.2244002898224,0.3986059044448992
22959701,2,2,0,2334.4909884852937,2336.020200258469,1,False,25.729155087377876,2333.854319276754,2360.5487521416508,0.07773282850555607
22970720,17,16,1,1500.301056338491,2983.271144470433,4,False,91.96523150801636,1491.625522964634,2988.2244002898224,0.18485246784289514
22998652,5,5,0,2477.5780965296067,2519.9365043411262,2,False,46.430543983355165,2474.166761370376,2524.4375715572387,0.10768773249334414
23076771,2,2,0,2496.5824308194806,2521.7032559208874,2,False,46.430543983355165,2474.166761370376,2524.4375715572387,0.04307509299733765
23088464,1,1,0,2974.349176302701,2974.349176302701,1,False,24.7985995439808,2962.7938563008797,2988.2244002898224,0.040324857789911905
23193695,3,3,0,1413.5785936382797,1429.6648358275809,1,False,22.083321762271225,1410.917224333156,1436.833879429381,0.1358491277849975
23443671,7,6,1,3075.470057485164,3092.199322478257,1,False,27.219895827584423,3068.7336248317733,3096.58777991822,0.25716483429397463
23562559,8,8,0,2353.530187316528,3077.7131507588174,2,False,52.9490509149623,2333.854319276754,3096.58777991822,0.15108863826186858
23689332,1,1,0,3072.881126137597,3072.881126137597,1,False,27.219895827584423,3068.7336248317733,3096.58777991822,0.036737833470567804
24069249,2,2,0,2335.328432606497,2359.32330085923,1,False,25.729155087377876,2333.854319276754,2360.5487521416508,0.07773282850555607
24297713,9,9,0,2174.4333068756737,2199.3570884951746,1,False,24.999988432973623,2174.222455819603,2200.2293886975385,0.3600001665652569
24401034,54,49,2,1442.872237203357,2199.956752211747,3,False,70.60413196543254,1437.97971276287,2200.2293886975385,0.7648277586138748
24448282,4,4,0,1441.4625162870918,2222.1661515372084,2,False,49.18747686687857,1437.97971276287,2227.5696549103595,0.08132151219761966
24451239,12,12,0,1441.8277159665156,2215.718998358217,4,False,94.87495373282604,1437.97971276287,2227.5696549103595,0.12648227511965665
24518895,18,18,0,1440.6473012093568,2198.8014429409527,2,False,49.91664353245869,1437.97971276287,2200.2293886975385,0.3606011687924361
24587624,35,35,0,1441.5430735798486,2227.0355614659907,4,False,94.87495373282604,1437.97971276287,2227.5696549103595,0.36890663576566524
24607949,19,18,1,1442.3695325014853,2199.869469505068,3,False,70.60413196543254,1437.97971276287,2200.2293886975385,0.26910606321599295
24608426,11,9,1,1441.5387841675054,1486.944348498099,2,False,45.60414353245892,1437.97971276287,1490.0421896306798,0.24120615251047767
25966549,2,2,0,2450.9041634066275,2462.5747162151933,1,False,24.541655088308744,2447.687606282532,2473.159816926345,0.08149409617254251
25966690,8,8,0,2451.5222947913803,2491.6632280019458,2,False,48.20831018034323,2447.687606282532,2498.888972017914,0.16594649283645646
26016527,5,5,0,2478.626145967932,2509.8906229478944,2,False,46.430543983355165,2474.166761370376,2524.4375715572387,0.10768773249334414
26017840,8,8,0,2450.0318043484444,2523.1451824643573,3,False,70.97219907166391,2447.687606282532,2524.4375715572387,0.11272019332417797
26079243,7,6,1,2449.4511463297117,2493.9994167712075,2,False,48.20831018034323,2447.687606282532,2498.888972017914,0.1452031812318994
26079418,1,1,0,2507.0696164639567,2507.0696164639567,1,False,22.763888891320676,2500.1875831289217,2524.4375715572387,0.04392922513258602
26081408,4,4,0,2465.2443003878125,2522.136812510759,2,False,47.30554397962942,2447.687606282532,2524.4375715572387,0.0845566854008162
26081460,3,3,0,2450.209538796327,2503.0680034894904,2,False,47.30554397962942,2447.687606282532,2524.4375715572387,0.06341751405061216
26081949,1,1,0,2515.6421966743164,2515.6421966743164,1,False,22.763888891320676,2500.1875831289217,2524.4375715572387,0.04392922513258602
26109308,2,2,0,2455.7655942897163,2469.427982684629,1,False,24.541655088308744,2447.687606282532,2473.159816926345,0.08149409617254251
26126184,2,2,0,2466.687478307252,2468.282066446119,1,False,24.541655088308744,2447.687606282532,2473.159816926345,0.08149409617254251
26126856,1,1,0,2516.7102481012294,2516.7102481012294,1,False,22.763888891320676,2500.1875831289217,2524.4375715572387,0.04392922513258602
26178271,1,1,0,2481.687314720476,2481.687314720476,1,False,23.66665509203449,2474.166761370376,2498.888972017914,0.042253541791656524
26500261,1,1,0,2894.597721830392,2894.597721830392,1,False,27.092581023927778,2882.323983593378,2910.048509061802,0.03691047372403591
